"model","3d","display_format","diagonal_size","review_date"
"Sony XBR 55X900B","Yes","4K UHDTV (2160p)","55 in","Jun. 24, 2014"
"Sony XBR-65X900B","","4K (2160p)","65 in","Jun. 24, 2014"
"Sony KDL-50W800B","Yes","1080p (FullHD)","50 in","Jun. 17, 2014"
"Sony KDL-55W800B","","1080p","55 in","Jun. 17, 2014"
"Vizio M502i-B1","","","","Jun. 10, 2014"
"Vizio M492i-B2","","1080p (FullHD)","49 in","Jun. 10, 2014"
"VIZIO M422i-B1","","1080p (FullHD)","42 in","Jun. 10, 2014"
"Vizio M652i-B2","","1080p (FullHD)","65 in","Jun. 10, 2014"
"Vizio M702i-B3","","1080p (FullHD)","70 in","Jun. 10, 2014"
"Vizio M552i-B2","","1080p (FullHD)","55 in","Jun. 10, 2014"
"Sharp LC 80UQ17U","Yes","1080p (FullHD)","80 in","May. 30, 2014"
"Vizio M602i-B3","","1080p (FullHD)","60 in","Jun. 10, 2014"
"Sharp LC 60UQ17U","Yes","1080p (FullHD)","60 in","May. 30, 2014"
"Sharp LC 70UQ17U","Yes","1080p (FullHD)","70 in","May. 30, 2014"
"VIZIO E400i-B2","","","40 in","May. 28, 2014"
"VIZIO E600i-B3","","1080p (FullHD)","60 in","May. 28, 2014"
"Vizio E550i-B2","","1080p (FullHD)","55 in","May. 28, 2014"
"VIZIO E480i-B2","","1080p (FullHD)","48 in","May. 28, 2014"
"VIZIO E390i-B1","","1080p (FullHD)","39 in","May. 28, 2014"
"VIZIO E420i-B0","","1080p (FullHD)","42 in","May. 28, 2014"
"Vizio E390i-B0","","1080p (FullHD)","39 in","May. 28, 2014"
"Vizio E500i-B1","","1080p (FullHD)","50 in","May. 28, 2014"
"Samsung UN50H6400","Yes","1080p (FullHD)","50 in","May. 7, 2014"
"Samsung UN55H6400","Yes","1080p","55 in","May. 7, 2014"
"Samsung UN40H6400","Yes","1080p (FullHD)","40 in","May. 7, 2014"
"Samsung UN65H6400","Yes","1080p (FullHD)","65 in","May. 7, 2014"
"Samsung UN48H6400","Yes","1080p (FullHD)","48 in","May. 7, 2014"
"Samsung UN60H6400","Yes","1080p (FullHD)","60 in","May. 7, 2014"
"Samsung UN50H6350","","","","May. 2, 2014"
"Samsung UN32H6350","","1080p (FullHD)","31.5","May. 2, 2014"
"Samsung UN55H6350","","1080p","55 in","May. 2, 2014"
"Samsung UN32H6350","","1080p (FullHD)","31.5","May. 2, 2014"
"Samsung UN40H6350","","1080p (FullHD)","40.0","May. 2, 2014"
"Samsung UN60H6350","","1080p (FullHD)","60.0","May. 2, 2014"
"Samsung UN75H6350","","1080p (FullHD)","74.5","May. 2, 2014"
"Sony KDL-60W850B","Yes","1080p","60 in","Apr. 14, 2014"
"Sony KDL-70W850B","Yes","1080p (FullHD)","70 in","Apr. 14, 2014"
"Samsung UN65H6350","","1080p (FullHD)","64.5","May. 2, 2014"
"Toshiba 65L9300U","Active 3D","4K UHDTV (2160p)","65 in","Feb. 5, 2014"
"Vizio M701d-A3R","Yes","1080p","70 in","Jan. 23, 2014"
"Sony KDL-70R550A","Passive 3D","1080p (FullHD)","70 in","Nov. 25, 2013"
"Sony KDL-60R550A","Passive 3D","1080p (FullHD)","60 in","Nov. 25, 2013"
"Samsung UN55F7100","Active 3D","1080p (FullHD)","55 in","Nov. 12, 2013"
"Samsung UN65F7100","Active 3D","1080p (FullHD)","65 in","Nov. 12, 2013"
"Samsung UN60F7100","Active 3D","1080p (FullHD)","60 in","Nov. 12, 2013"
"Samsung UN75F7100","Active 3D","1080p (FullHD)","75 in","Nov. 12, 2013"
"Samsung UN46F7100","Active 3D","1080p (FullHD)","46 in","Nov. 12, 2013"
"Vizio M601d-A3R","Yes","1080p","60 in","Jan. 23, 2014"
"Panasonic TC-L65WT600","Active 3D","4K UHDTV (2160p)","65 in","Nov. 4, 2013"
"Samsung UN65F9000","Active 3D","4K UHDTV (2160p)","65 in","Oct. 24, 2013"
"Samsung UN65F9000","Active 3D","4K UHDTV (2160p)","65 in","Oct. 24, 2013"
"Samsung UN40F5000AF","","1080p","40 in","Oct. 4, 2013"
"Samsung UN32F5000AF","","1080p (FullHD)","32 in","Oct. 4, 2013"
"Samsung UN50F5000AF","","1080p (FullHD)","50 in","Oct. 4, 2013"
"Sharp LC 60LE757U - 60' 3D LED TV","Yes","1080p (FullHD)","60 in","Sep. 19, 2013"
"Samsung UN22F5000AF","","1080p (FullHD)","22 in","Oct. 4, 2013"
"Sharp LC-80LE757U","Active 3D","1080p (FullHD)","80 in","Sep. 19, 2013"
"Sharp LC-70LE757U","Active 3D","1080p (FullHD)","70 in","Sep. 19, 2013"
"Samsung UN32F6300","","1080p (FullHD)","32 in","Sep. 18, 2013"
"Samsung UN60F6300","","1080p (FullHD)","60 in","Sep. 18, 2013"
"Samsung UN32F6300","","1080p (FullHD)","32 in","Sep. 18, 2013"
"Samsung UN60F6300","","1080p (FullHD)","60 in","Sep. 18, 2013"
"Samsung UN46F6300","","1080p (FullHD)","46 in","Sep. 18, 2013"
"Samsung UN40F6300","","1080p (FullHD)","40 in","Sep. 18, 2013"
"Panasonic TC-L65E60","","1080p","65 in","Aug. 30, 2013"
"Panasonic TC-L58E60","","1080p","58 in","Aug. 30, 2013"
"Samsung UN60F6400","Active 3D","1080p (FullHD)","60 in","Aug. 29, 2013"
